2023_RGB_8cm_W07A_6: left=-10000.0, bottom=-3772000.0, right=-9000.0, top=-3771000.0
2023_RGB_8cm_W07A_7: left=-9000.0, bottom=-3772000.0, right=-8000.0, top=-3771000.0
2023_RGB_8cm_W07A_8: left=-8000.0, bottom=-3772000.0, right=-7000.0, top=-3771000.0
2023_RGB_8cm_W07A_9: left=-7000.0, bottom=-3772000.0, right=-6000.0, top=-3771000.0
2023_RGB_8cm_W07A_10: left=-6000.0, bottom=-3772000.0, right=-5000.0, top=-3771000.0
2023_RGB_8cm_W07A_11: left=-10000.0, bottom=-3773000.0, right=-9000.0, top=-3772000.0
2023_RGB_8cm_W07A_12: left=-9000.0, bottom=-3773000.0, right=-8000.0, top=-3772000.0
2023_RGB_8cm_W07A_13: left=-8000.0, bottom=-3773000.0, right=-7000.0, top=-3772000.0
2023_RGB_8cm_W07A_14: left=-7000.0, bottom=-3773000.0, right=-6000.0, top=-3772000.0
2023_RGB_8cm_W07A_15: left=-6000.0, bottom=-3773000.0, right=-5000.0, top=-3772000.0
2023_RGB_8cm_W07A_16: left=-10000.0, bottom=-3774000.0, right=-9000.0, top=-3773000.0
2023_RGB_8cm_W07A_17: left=-9000.0, bottom=-3774000.0, right=-8000.0, top=-3773000.0
2023_RGB_8cm_W07A_18: left=-8000.0, bottom=-3774000.0, right=-7000.0, top=-3773000.0
2023_RGB_8cm_W07A_19: left=-7000.0, bottom=-3774000.0, right=-6000.0, top=-3773000.0
2023_RGB_8cm_W07A_20: left=-6000.0, bottom=-3774000.0, right=-5000.0, top=-3773000.0
2023_RGB_8cm_W07A_21: left=-10000.0, bottom=-3775000.0, right=-9000.0, top=-3774000.0
2023_RGB_8cm_W07A_22: left=-9000.0, bottom=-3775000.0, right=-8000.0, top=-3774000.0
2023_RGB_8cm_W07A_23: left=-8000.0, bottom=-3775000.0, right=-7000.0, top=-3774000.0
2023_RGB_8cm_W07A_24: left=-7000.0, bottom=-3775000.0, right=-6000.0, top=-3774000.0
2023_RGB_8cm_W07A_25: left=-6000.0, bottom=-3775000.0, right=-5000.0, top=-3774000.0
2023_RGB_8cm_W07B_1: left=-5000.0, bottom=-3771000.0, right=-4000.0, top=-3770000.0
2023_RGB_8cm_W07B_2: left=-4000.0, bottom=-3771000.0, right=-3000.0, top=-3770000.0
2023_RGB_8cm_W07B_3: left=-3000.0, bottom=-3771000.0, right=-2000.0, top=-3770000.0
2023_RGB_8cm_W07B_4: left=-2000.0, bottom=-3771000.0, right=-1000.0, top=-3770000.0
2023_RGB_8cm_W07B_5: left=-1000.0, bottom=-3771000.0, right=0.0, top=-3770000.0
2023_RGB_8cm_W07B_6: left=-5000.0, bottom=-3772000.0, right=-4000.0, top=-3771000.0
2023_RGB_8cm_W07B_7: left=-4000.0, bottom=-3772000.0, right=-3000.0, top=-3771000.0
2023_RGB_8cm_W07B_8: left=-3000.0, bottom=-3772000.0, right=-2000.0, top=-3771000.0
2023_RGB_8cm_W07B_9: left=-2000.0, bottom=-3772000.0, right=-1000.0, top=-3771000.0
2023_RGB_8cm_W07B_10: left=-1000.0, bottom=-3772000.0, right=0.0, top=-3771000.0
2023_RGB_8cm_W07B_11: left=-5000.0, bottom=-3773000.0, right=-4000.0, top=-3772000.0
2023_RGB_8cm_W07B_12: left=-4000.0, bottom=-3773000.0, right=-3000.0, top=-3772000.0
2023_RGB_8cm_W07B_13: left=-3000.0, bottom=-3773000.0, right=-2000.0, top=-3772000.0
2023_RGB_8cm_W07B_14: left=-2000.0, bottom=-3773000.0, right=-1000.0, top=-3772000.0
